biosample_summary,Biosample term name,Biosample term id,Experiment accession,Assay,Output type,File format,Library made from,Library depleted in,Biological replicate(s),Technical replicate,Biosample type,Biosample life stage,Biosample sex,Biosample Age,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR,Biosample treatments,Biosample subcellular fraction term name,Library extraction method,Library lysis method,Library strand specific,Project,Lab,Experiment date released,Derived from,Size,md5sum,File accession,File download URL,Assembly,File Status,Biosample organism,Biosample phase,Biosample synchronization stage,Experiment target,Antibody accession,RBNS protein concentration,Library fragmentation method,Library size range,Read length,Mapped read length,Run type,Paired end,Paired with,Platform,Controlled by,Library crosslinking method,dbxrefs
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF810BMY,2262594,8c54d1612e78453f776e1c69105e09f9,ENCFF476FLD,https://www.encodeproject.org/files/ENCFF476FLD/@@download/ENCFF476FLD.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF044AYN,2881388,3160c145ec08188f3b8165bcb61e0bb2,ENCFF338SOW,https://www.encodeproject.org/files/ENCFF338SOW/@@download/ENCFF338SOW.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,ENCODE Processing Pipeline,8/18/15,"ENCFF163ZHO, ENCFF271QBK",660783,7cdb4dfa9647cdc3243f2e51c0322eb7,ENCFF335DWP,https://www.encodeproject.org/files/ENCFF335DWP/@@download/ENCFF335DWP.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,ENCODE Processing Pipeline,8/18/15,"ENCFF130POJ, ENCFF163ZHO",711222,98d88155f323a5ad94c448976c21b834,ENCFF927OSI,https://www.encodeproject.org/files/ENCFF927OSI/@@download/ENCFF927OSI.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,signal of unique reads,bigWig,DNA,-,2,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF044AYN,370439327,cc55a090166ac56367e826bcb2e40e51,ENCFF996WFU,https://www.encodeproject.org/files/ENCFF996WFU/@@download/ENCFF996WFU.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR932KWJ,DNase-seq,signal of unique reads,bigWig,DNA,-,1,-,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF810BMY,241179338,92eda897b455c7d9d984fe1c4ecc78d4,ENCFF111TWT,https://www.encodeproject.org/files/ENCFF111TWT/@@download/ENCFF111TWT.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR580GSX,RNA-seq,gene quantifications,tsv,RNA,rRNA,1,1.0,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF646GMG, ENCFF826ONU",9559143,dc22c3ab8861e00bbfa84f5a090bf568,ENCFF432WWV,https://www.encodeproject.org/files/ENCFF432WWV/@@download/ENCFF432WWV.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A172,A172,EFO:0002101,ENCSR580GSX,RNA-seq,gene quantifications,tsv,RNA,rRNA,2,1.0,immortalized cell line,adult,male,53 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF742YMN, ENCFF826ONU",9534508,524e36a5d9fd52661ab239e2521fe9fe,ENCFF355RVO,https://www.encodeproject.org/files/ENCFF355RVO/@@download/ENCFF355RVO.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001ARO,2766446,89aa9966f9acc9d87b73fea34e491dfd,ENCFF001VYQ,https://www.encodeproject.org/files/ENCFF001VYQ/@@download/ENCFF001VYQ.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001CLJ,1658893,f7fe3a8e0956ba5ccc3e64e9f201e5e8,ENCFF001WDC,https://www.encodeproject.org/files/ENCFF001WDC/@@download/ENCFF001WDC.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001CLE,1403694,59e34c789a002f723b547bcb97560804,ENCFF001WDB,https://www.encodeproject.org/files/ENCFF001WDB/@@download/ENCFF001WDB.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,raw signal,bigWig,DNA,-,1,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001ARO,346391087,7a5ff37a9a6d50927e8f3cd176640b8a,ENCFF001APG,https://www.encodeproject.org/files/ENCFF001APG/@@download/ENCFF001APG.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,signal,bigWig,DNA,-,1,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001ARO,505223108,b84a7662f39f937bf31c11513a3b06a2,ENCFF001AQA,https://www.encodeproject.org/files/ENCFF001AQA/@@download/ENCFF001AQA.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,raw signal,bigWig,DNA,-,2,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001CLJ,195135102,0b32bc5518d9651db6d2a09bd139db5d,ENCFF001CLM,https://www.encodeproject.org/files/ENCFF001CLM/@@download/ENCFF001CLM.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000ELW,DNase-seq,raw signal,bigWig,DNA,-,1,-,immortalized cell line,adult,male,58 year,"inconsistent platforms, mixed run types",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",7/21/16,ENCFF001CLE,146594904,524d647813a21c65e511c7b1faf1d520,ENCFF001CLL,https://www.encodeproject.org/files/ENCFF001CLL/@@download/ENCFF001CLL.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000CON,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF761XXJ, ENCFF826ONU",9540678,767b5e9f494db1f7482a02b256c409fe,ENCFF452CIQ,https://www.encodeproject.org/files/ENCFF452CIQ/@@download/ENCFF452CIQ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549,A549,EFO:0001086,ENCSR000CON,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF615OVT, ENCFF826ONU",9564740,79a824ad35615468df016d3d49b56384,ENCFF133PXI,https://www.encodeproject.org/files/ENCFF133PXI/@@download/ENCFF133PXI.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 cytosolic fraction,A549,EFO:0001086,ENCSR000CTL,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,4,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,cytosol,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF290MKO, ENCFF826ONU",9534690,517e6f45dddd418716c2db4a5de20b2a,ENCFF908MNP,https://www.encodeproject.org/files/ENCFF908MNP/@@download/ENCFF908MNP.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 cytosolic fraction,A549,EFO:0001086,ENCSR000CTL,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,3,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,cytosol,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF826ONU, ENCFF973HKI",9532649,0bb543abbc7b4a9c6e3b03eb1650e14a,ENCFF181YNE,https://www.encodeproject.org/files/ENCFF181YNE/@@download/ENCFF181YNE.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 nuclear fraction,A549,EFO:0001086,ENCSR000CTM,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,4,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,nucleus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF279DAC, ENCFF826ONU",9442867,8ea011bbc4e0eacdd13a699103267f38,ENCFF577LFK,https://www.encodeproject.org/files/ENCFF577LFK/@@download/ENCFF577LFK.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
